最大物理内存块号：100
页面大小：10条指令
作业大小：320条指令
允许分配的内存块数：4

指令号 逻辑地址 逻辑页号 物理块号 物理地址 装入情况
0	149	14	 16	  169	   14	
1	258	25	 2	  28	   14	25	
2	265	26	 72	  725	   14	25	26	
3	257	25	 2	  27	   14	25	26	
4	267	26	 72	  727	   14	25	26	
5	262	26	 72	  722	   14	25	26	
6	261	26	 72	  721	   14	25	26	
7	156	15	 3	  36	   14	25	26	15	
8	154	15	 3	  34	   14	25	26	15	
9	162	16	 16	  162	   16	25	26	15	
10	154	15	 3	  34	   16	25	26	15	
11	160	16	 16	  160	   16	25	26	15	
12	158	15	 3	  38	   16	25	26	15	
13	236	23	 2	  26	   16	23	26	15	
14	229	22	 72	  729	   16	23	22	15	
15	230	23	 2	  20	   16	23	22	15	
16	234	23	 2	  24	   16	23	22	15	
17	232	23	 2	  22	   16	23	22	15	
18	312	31	 16	  162	   31	23	22	15	
19	29	2	 3	  39	   31	23	22	2	
20	31	3	 72	  721	   31	23	3	2	
21	27	2	 3	  37	   31	23	3	2	
22	32	3	 72	  722	   31	23	3	2	
23	158	15	 2	  28	   31	15	3	2	
24	158	15	 2	  28	   31	15	3	2	
25	116	11	 16	  166	   11	15	3	2	
26	116	11	 16	  166	   11	15	3	2	
27	50	5	 3	  30	   11	15	3	5	
28	53	5	 3	  33	   11	15	3	5	
29	55	5	 3	  35	   11	15	3	5	
30	50	5	 3	  30	   11	15	3	5	
31	8	0	 72	  728	   11	15	0	5	
32	6	0	 72	  726	   11	15	0	5	
33	2	0	 72	  722	   11	15	0	5	
34	6	0	 72	  726	   11	15	0	5	
35	2	0	 72	  722	   11	15	0	5	
36	115	11	 16	  165	   11	15	0	5	
37	103	10	 2	  23	   11	10	0	5	
38	102	10	 2	  22	   11	10	0	5	
39	106	10	 2	  26	   11	10	0	5	
40	99	9	 3	  39	   11	10	0	9	
41	102	10	 2	  22	   11	10	0	9	
42	101	10	 2	  21	   11	10	0	9	
43	74	7	 72	  724	   11	10	7	9	
